,UNIVERS,CLI_ID,counts
0,CAP_AP SHAMP,982198050.8424344,1.6089648340762754
1,CAP_SHAMP SPECIFIQUE,979955240.7630471,1.6077619302450035
2,CAP_SHAMP TRAITANT,980842870.6950842,1.4900060876623376
3,CAP_SHAMP TSCHEVEUX,979297865.9514223,1.641095693435905
4,CAP_TENUE DE LA COIFFURE,981004045.4097098,1.237969629999287
5,CAP_TRAITEMENT,982209971.1130726,1.3634281200631913
6,CORPS_EAUX CORPS AUTRES,977549797.8839642,1.0749501992031874
7,CORPS_EAUX CORPS MONOI,981037319.5728474,1.1195569136745607
8,CORPS_EXFOLIANT CORPS,980901965.6985158,1.2597735849056604
9,CORPS_HYDRA NOURRISANT,978603537.1339712,1.7160086556208498
10,CORPS_LAIT HUILE AUTRES,981700164.9813958,1.242555976253915
11,CORPS_LAIT HUILE MONOI,981119828.4770867,1.2738253412247855
12,CORPS_LAIT HUILE PARFUMS,980836314.325649,1.3126550868486353
13,CORPS_LAIT HUILE PLAISIRNATURE,982760399.0003248,1.462899684280276
14,CORPS_PRODUITS MINCEUR,978310356.0355933,1.7709130672498634
15,CORPS_SOIN DES MAINS,980613881.167061,1.6100580947714707
16,CORPS_SOIN PIEDS ET JAMBES,978210420.5003357,1.72665941936309
17,CORPS_SOINS HAMMAM,982118503.5581306,1.2385849129000077
18,DIETETIQUE,993646584.0,1.0
19,HYG_BAIN SEL HUILE PERLE,983098500.5614381,2.3985504957999115
20,HYG_DEO AUTRES,982376755.375,1.0
21,HYG_DEO CULTURE BIO,976913125.6831001,1.2163910093299406
22,HYG_DEO HOMMES,978722372.235324,1.4802345908757684
23,HYG_DEO JARDINMONDE,978501952.2805037,1.6725285859024461
24,HYG_DEO PARFUMS,979334880.7580347,1.6248192190261932
25,HYG_DOUCHE AUTRES,973745725.72972,1.830940416367552
26,HYG_DOUCHE CULTUREBIO,979374458.8210975,1.577251243017617
27,HYG_DOUCHE EDT ETE,978243718.5897695,1.2187069519698779
28,HYG_DOUCHE EDT NOEL,981580179.1420807,2.009094455879781
29,HYG_DOUCHE FRAICHEUR VEG,975940486.2805454,1.5706345044572627
30,HYG_DOUCHE HAMMAM,979417268.4679681,1.4428544351781654
31,HYG_DOUCHE HOMMES,978626270.2999606,1.887720220878254
32,HYG_DOUCHE JARDINMONDE,979947005.1687126,3.4832597236073513
33,HYG_DOUCHE MONOI,979923684.0822122,1.504405495026054
34,HYG_DOUCHE PARFUMS,980209233.2781758,1.5714907440508572
35,HYG_DOUCHE PLAISIRNATURE,981158327.4269879,2.4123713988466036
36,HYG_RASAGE,977869876.2448636,1.4482990906028965
37,HYG_SAVONS,980697153.0625525,1.5809005384296788
38,MAQ_Autres,982652637.0210032,1.0859225828849157
39,MAQ_LEV AUTRES,980176622.7307464,1.2734078977402419
40,MAQ_LEV BRILLANT,981330505.8691447,1.2640932918453733
41,MAQ_LEV RAL Autres,979383451.7213115,1.0163934426229508
42,MAQ_LEV RAL Brillance,979568262.0570533,1.2530553337837007
43,MAQ_LEV RAL GrdRouge,978987956.5024846,1.2010549652167266
44,MAQ_LEV RAL Hydr,978167355.5068115,1.2185636260907777
45,MAQ_LEV RAL Lum4,980168173.6334449,1.293153813469301
46,MAQ_ONG AUTRES,977961024.3639593,1.4174043833261711
47,MAQ_ONG Vernis CN,979327220.3791369,1.395937760216827
48,MAQ_ONG Vernis LUM,980602894.3642735,2.3088198927252725
49,MAQ_TEINT Fard a joues,977763329.4756923,1.1904615384615385
50,MAQ_TEINT Font teint,980301689.0223346,1.5031093704517187
51,MAQ_TEINT Perfect Correcteur,980082501.477201,1.307419642641846
52,MAQ_TEINT Poudres,978763915.0931194,1.489926682541672
53,MAQ_YEUX Autres,986989321.0,1.0
54,MAQ_YEUX Crayons,980324730.931451,1.4745220880087537
55,MAQ_YEUX Eyeliner,980131896.5374372,1.35401003982937
56,MAQ_YEUX Fard,978834851.4190145,1.5802796675145128
57,MAQ_YEUX Mascara Basic,979177717.5081518,1.166444345635097
58,MAQ_YEUX Mascara Elixir,980918064.5311624,1.0523154944614974
59,MAQ_YEUX Mascara SexyPulp,980234461.7345353,1.211291200737111
60,MAQ_YEUX Mascara Specifique,978958167.7764453,1.3459313161434614
61,MAQ_YEUX Mascara Vertige,980001271.1610386,1.1990351974271931
62,MAQ_YEUX Sourcils,978141240.5401629,1.2364405031965353
63,MAQ_YEUX Stylos,979313921.3559946,1.7312750998239417
64,MULTI FAMILLES,976578679.2068965,1.0344827586206897
65,PARF_APRES RASAGE,975601589.0164233,1.3889142335766422
66,PARF_EAUX AUTRES,983391186.3548387,1.064516129032258
67,PARF_EAUX DE COLOGNE,977476624.4299533,1.616621041728322
68,PARF_EAUX EDIT NOEL ETE,979401943.662244,1.1126080152412057
69,PARF_EAUX HOMMES,979703072.6795022,1.4697242440844225
70,PARF_EAUX MONOI,981101804.012897,1.1533767854666481
71,PARF_EAUX PARFUMS,979602848.248113,1.4026449906457648
72,PARF_EAUX PLAISIR NATURE,983108912.4247689,1.6165222070609035
73,PARF_PARF ET EAU DE PARF,980658076.7470243,1.5374235715791693
74,SOINS CORPS ANTI-AGE,974542116.9529082,1.548573210665835
75,SOL_APRES SOLEIL,977857164.7106439,1.3255359978824774
76,SOL_AUTOBRONZANTS,977786007.2100444,1.4328523862375138
77,SOL_PROTECTEURS SOLAIRES,977144221.8331075,1.303847729492957
78,VIS_CJOUR AAAR,976468169.3623624,1.9542028861388259
79,VIS_CJOUR Autres,972243366.5238096,1.0476190476190477
80,VIS_CJOUR BIO,979231672.2328259,1.2556596409055425
81,VIS_CJOUR Jeunes Specifique,981851051.3886912,1.4972987031410703
82,VIS_CJOUR PUR,979537358.8260412,1.5438840274908927
83,VIS_CNUIT AAAR,975427347.4371332,1.4778743238577512
84,VIS_CNUIT Autres,971622474.3157895,1.0526315789473684
85,VIS_CNUIT BIO,976786187.5510204,1.1486880466472302
86,VIS_CNUIT Jeunes Specifique,980757079.4623877,1.161232349165597
87,VIS_DEMAQ AAAR,974929385.9252446,2.017043089092423
88,VIS_DEMAQ Autres,989413033.0,1.0
89,VIS_DEMAQ BIO,976973018.8179348,1.2239130434782608
90,VIS_DEMAQ BLEUET,978368518.1969208,1.8080836338016495
91,VIS_DEMAQ Jeunes Specifique,981356713.195095,1.769577509868772
92,VIS_DEMAQ PUR,977527209.624901,1.929574052237962
93,VIS_LOTIONS AAAR,975052443.5858742,1.4010193865477383
94,VIS_LOTIONS Autres,973365571.8333334,1.0
95,VIS_LOTIONS BIO,978543508.0,1.0
96,VIS_LOTIONS Jeunes Specifique,980562801.6845003,1.3242913459733434
97,VIS_MASQUE AAAR,975378272.8892568,1.2262693156732891
98,VIS_MASQUE Jeunes Specifique,981018078.5029343,1.553664386211165
99,VIS_MASQUE PUR,980027424.8210803,1.1270849371311265
100,VIS_SOIN HOMMES,978693827.0324557,1.6194519075765716
101,VIS_SOIN LEVRES,982118811.0628082,1.7036367159744203
102,VIS_TRAIT AAAR,977630517.4743489,1.4493609838437425
103,VIS_TRAIT BIO,973568539.8161764,1.1801470588235294
104,VIS_TRAIT Jeunes Specifique,980019593.8582075,1.3745394328296419
